epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6823,0,423.841,0,0,0,0,0,0,341.719,0,2e-05,2e-05,2e-05
2,49.4159,0,337.445,0,0,0,0,0,0,603.178,0,5.9208e-05,5.9208e-05,5.9208e-05
3,79.4925,0,223.743,0,0,0,0,0,0,1001.52,0,9.736e-05,9.736e-05,9.736e-05
4,191.403,0,191.383,0,0,0,0,0,0,1084.08,0,0.000134456,0.000134456,0.000134456
5,251.784,0,166.247,0,0,0,0,0,0,1093.73,0,0.000170496,0.000170496,0.000170496
6,283.75,0,139.615,0,0,0,0,0,0,960.894,0,0.00020548,0.00020548,0.00020548
7,350.404,0,111.517,0,0,0,0,0,0,2317.12,0,0.000239408,0.000239408,0.000239408
8,446.511,0,90.3169,0,0,0,0,0,0,4700.4,0,0.00027228,0.00027228,0.00027228
9,472.192,0,71.3629,0,0,0,0,0,0,7219.04,0,0.000304096,0.000304096,0.000304096
10,509.255,0,58.063,0,0,0,0,0,0,8764.01,0,0.000334856,0.000334856,0.000334856
11,538.547,0,55.6947,0,0,0,0,0,0,12545.4,0,0.00036456,0.00036456,0.00036456
